ID,Time_hrs,log2.Pop_Size,Pop_Size,Pop_Size_units
41537,669.879518072289,0.3598311664844035,0.28327571154182,OD_595
41537,646.987951807229,0.3599057597723443,0.28334206390780503,OD_595
41537,622.89156626506,0.36193792387221907,0.285151038938362,OD_595
41537,597.5903614457831,0.3581105247832794,0.28174611489435997,OD_595
41537,574.698795180723,0.3483648000829285,0.27311681508643304,OD_595
41537,550.602409638554,0.3305979640593982,0.257534485769164,OD_595
41537,526.506024096385,0.33067809041372553,0.257604330364938,OD_595
41537,502.409638554217,0.3167253249642625,0.245500261917235,OD_595
41537,479.51807228915703,0.31881514786392673,0.24730574471800196,OD_595
41537,454.21686746988,0.3229172626221596,0.250857342413131,OD_595
41537,431.325301204819,0.30482819059724214,0.235271520866073,OD_595
41537,384.33734939759,0.2865920404766463,0.21975554391479,OD_595
41537,406.024096385542,0.2967667185145327,0.22838833595250602,OD_595
41537,359.036144578313,0.2887341883318399,0.221568011175135,OD_595
41537,310.843373493976,0.2535566747240938,0.19214248297538,OD_595
41537,334.939759036145,0.25977267083063715,0.197290029683953,OD_595
41537,261.44578313253,0.2131820022690009,0.159242186135848,OD_595
41537,286.746987951807,0.23030373135101612,0.17308189278854597,OD_595
41537,215.66265060241003,0.18934315577092128,0.140244456085211,OD_595
41537,238.55421686747002,0.20458149391680655,0.15235201676270302,OD_595
41537,190.361445783133,0.1627878078893416,0.11944822769338198,OD_595
41537,166.265060240964,0.14256491894682274,0.10386589837611301,OD_595
41537,142.168674698795,0.11743614302606503,0.0848053081892789,OD_595
41537,119.27710843373502,0.08714095182935944,0.0622629649030908,OD_595
41537,95.1807228915663,0.06342218384633727,0.044941505151039,OD_595
41537,71.0843373493976,0.04661319929705779,0.0328374367033352,OD_595
41537,46.98795180722891,0.027145893416591915,0.0189942378208487,OD_595
41537,22.891566265060217,0.012396040058505182,0.00862929980792748,OD_595
41537,0.0,0.007507536668941269,0.00521739130434795,OD_595
28408,669.879518072289,0.6477786509981673,0.566753972411385,OD_595
28408,645.78313253012,0.6446367015782326,0.563345556137594,OD_595
28408,621.686746987951,0.6382674618988019,0.556458878994238,OD_595
28408,598.795180722892,0.6351014633821352,0.553046970490658,OD_595
28408,550.602409638554,0.6352312211067905,0.553186659682207,OD_595
28408,574.698795180723,0.6367809235653703,0.554855945521215,OD_595
28408,526.506024096385,0.6352960955929178,0.5532565042779809,OD_595
28408,502.40963855421705,0.6450201541128362,0.563761131482452,OD_595
28408,478.3132530120481,0.6418721848339998,0.560352715208661,OD_595
28408,453.01204819277103,0.6515553753719642,0.5708608346429189,OD_595
28408,430.12048192771107,0.6516163127927664,0.570927187008905,OD_595
28408,406.02409638554207,0.6452778800527228,0.564040509865549,OD_595
28408,383.1325301204821,0.6612918833492065,0.5814981665793609,OD_595
28408,359.03614457831304,0.6581792577206277,0.57808975030557,OD_595
28408,334.93975903614506,0.655059902055633,0.5746813340317789,OD_595
28408,310.84337349397606,0.6551238910133701,0.574751178627554,OD_595
28408,286.74698795180706,0.6471997074894281,0.5661253710494151,OD_595
28408,263.8554216867471,0.6552486613183147,0.5748873755893139,OD_595
28408,238.55421686747005,0.6616741200387897,0.5819172341540071,OD_595
28408,214.45783132530104,0.6601509417818029,0.580247948314999,OD_595
28408,190.36144578313204,0.6345855609992948,0.5524917059542521,OD_595
28408,167.46987951807202,0.6362623800330856,0.5542971887550201,OD_595
28408,142.16867469879503,0.6298592351721133,0.547414003841453,OD_595
28408,118.07228915662604,0.5854695926668526,0.5005273266980971,OD_595
